DateTime,Date,Close,Company
1/3/2021 15:00:00,1/3/2021,28.80,Aramco
1/4/2021 15:00:00,1/4/2021,28.80,Aramco
1/5/2021 15:00:00,1/5/2021,28.80,Aramco
1/6/2021 15:00:00,1/6/2021,28.76,Aramco
1/7/2021 15:00:00,1/7/2021,28.84,Aramco
1/10/2021 15:00:00,1/10/2021,28.93,Aramco
1/11/2021 15:00:00,1/11/2021,29.09,Aramco
1/12/2021 15:00:00,1/12/2021,29.05,Aramco
1/13/2021 15:00:00,1/13/2021,29.05,Aramco
1/14/2021 15:00:00,1/14/2021,28.93,Aramco
1/17/2021 15:00:00,1/17/2021,28.76,Aramco
1/18/2021 15:00:00,1/18/2021,28.88,Aramco
1/19/2021 15:00:00,1/19/2021,28.84,Aramco
1/20/2021 15:00:00,1/20/2021,28.76,Aramco
1/21/2021 15:00:00,1/21/2021,28.76,Aramco
1/24/2021 15:00:00,1/24/2021,28.88,Aramco
1/25/2021 15:00:00,1/25/2021,28.72,Aramco
1/26/2021 15:00:00,1/26/2021,28.68,Aramco
1/28/2021 15:00:00,1/28/2021,28.72,Aramco
1/31/2021 15:00:00,1/31/2021,28.64,Aramco
2/1/2021 15:00:00,2/1/2021,28.22,Aramco
2/2/2021 15:00:00,2/2/2021,28.26,Aramco
2/3/2021 15:00:00,2/3/2021,28.10,Aramco
2/4/2021 15:00:00,2/4/2021,28.06,Aramco
2/7/2021 15:00:00,2/7/2021,28.18,Aramco
2/8/2021 15:00:00,2/8/2021,28.35,Aramco
2/9/2021 15:00:00,2/9/2021,28.51,Aramco
2/10/2021 15:00:00,2/10/2021,28.47,Aramco
2/11/2021 15:00:00,2/11/2021,28.55,Aramco
2/14/2021 15:00:00,2/14/2021,28.55,Aramco
2/15/2021 15:00:00,2/15/2021,28.64,Aramco
2/16/2021 15:00:00,2/16/2021,28.80,Aramco
2/17/2021 15:00:00,2/17/2021,28.72,Aramco
2/18/2021 15:00:00,2/18/2021,28.72,Aramco
2/21/2021 15:00:00,2/21/2021,28.72,Aramco
2/22/2021 15:00:00,2/22/2021,28.60,Aramco
2/23/2021 15:00:00,2/23/2021,28.68,Aramco
2/24/2021 15:00:00,2/24/2021,28.55,Aramco
2/25/2021 15:00:00,2/25/2021,28.55,Aramco
2/28/2021 15:00:00,2/28/2021,28.47,Aramco
3/1/2021 15:00:00,3/1/2021,28.51,Aramco
3/2/2021 15:00:00,3/2/2021,28.47,Aramco
3/3/2021 15:00:00,3/3/2021,28.97,Aramco
3/4/2021 15:00:00,3/4/2021,29.09,Aramco
3/7/2021 15:00:00,3/7/2021,29.59,Aramco
3/8/2021 15:00:00,3/8/2021,29.67,Aramco
